image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-0.9-0.01-0.4-4-1.3-0.75-5-20.rsml,32424.213,15,3015,201.366,1.905,0.288,605,29091,48.601,0.834,58.058
sim-15-1.1-0.01-0.4-4-1.3-0.15-4-15.rsml,429.318,9,280,31.688,0.863,0.37,19,135,7.586,0.539,55.491
sim-15-1.2-0.01-0.6-4-1.3-0.2-5-20.rsml,9267.52,18,1471,82.154,1.311,0.352,236,7663,33.003,0.925,63.564
sim-15-1.1-0.01-0.8-4-1.3-0.6-1-10.rsml,2142.544,7,491,70.719,1.876,0.288,59,1617,27.924,1.484,62.177
sim-15-0.6-0.01-0.2-4-1.3-0.35-2-15.rsml,892.445,7,441,63.481,1.704,0.328,38,431,11.792,0.619,66.282
sim-15-0.9-0.01-0.3-4-1.3-0.8-4-10.rsml,991.993,7,509,73.058,2.227,0.311,37,459,12.989,0.805,59.222
sim-15-0.8-0.01-0.1-4-1.3-0.7-3-20.rsml,15201.639,13,3647,280.939,3.742,0.269,528,11284,21.874,0.624,62.255
sim-15-1.1-0.01-0.6-4-1.3-0.8-4-20.rsml,29273.645,18,2462,137.332,1.025,0.288,493,26552,54.364,0.655,57.077
sim-15-0.5-0.01-0.1-4-1.3-0.6-4-15.rsml,1511.21,6,741,124.015,2.932,0.31,63,737,12.177,0.62,61.695
sim-15-0.7-0.01-0.5-4-1.3-0.45-2-10.rsml,365.971,4,188,47.392,1.323,0.319,15,168,11.76,0.761,66.973
sim-15-1.2-0.01-0.8-4-1.3-0.65-4-5.rsml,49.805,2,48,24.903,1.134,0,0,0,0,0,0
sim-15-0.8-0.01-0.5-4-1.3-1-1-15.rsml,13793.518,9,1545,172.263,2.02,0.288,280,12095,43.726,1.04,55.515
sim-15-1.5-0.01-0.4-4-1.3-0.95-3-5.rsml,114.023,4,111,28.506,1.575,0,0,0,0,0,0
sim-15-1.1-0.01-0.8-4-1.3-0.5-1-15.rsml,8933.915,12,1095,91.694,0.842,0.311,196,7734,39.967,0.683,60.565
sim-15-0.7-0.01-0.1-4-1.3-0.85-2-5.rsml,39.332,2,38,19.666,1.418,0,0,0,0,0,0
sim-15-0.7-0.01-0.1-4-1.3-0.7-4-10.rsml,352.377,5,305,61.55,1.914,0.336,6,42,7.438,0.444,75.602
sim-15-0.5-0.01-0.7-4-1.3-0.35-2-20.rsml,9497.573,7,865,124.023,1.074,0.357,180,8530,47.941,0.792,55.711
sim-15-1.2-0.01-0.1-4-1.3-0.75-4-15.rsml,6546.934,15,2593,173.32,3.498,0.294,271,3814,14.565,0.633,59.899
sim-15-0.5-0.01-0.5-4-1.3-0.7-4-5.rsml,19.973,1,19,19.973,1.133,0,0,0,0,0,0
sim-15-1-0.01-0.5-4-1.3-0.35-4-10.rsml,366.642,7,226,32.809,1.048,0.368,15,131,9.132,0.608,62.742
sim-15-1.3-0.01-0.2-4-1.3-0.4-1-20.rsml,16039.238,22,3309,150.854,2.744,0.3,489,12464,26.013,0.846,60.864
sim-15-0.9-0.01-0.8-4-1.3-0.85-3-20.rsml,18505.898,15,1586,106.03,0.627,0.341,326,16760,51.888,0.495,58.269
sim-15-1.5-0.01-0.7-4-1.3-0.55-3-5.rsml,54.156,3,52,18.052,0.949,0,0,0,0,0,0
sim-15-0.5-0.01-0.5-4-1.3-0.2-4-20.rsml,2906.982,7,569,81.844,1.883,0.332,89,2285,26.226,1.129,64.005
sim-15-0.6-0.01-0.2-4-1.3-0.95-4-20.rsml,24526.207,10,3003,300.834,3.577,0.277,564,21226,38.152,0.885,56.228
