 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
67,sim-16-2.5-0.01-0.2-6-1.2-0.4-4-10.rsml,1005.522,17,843,50.091,1.186,0.266,26,142,5.922,0.322,46.694
68,sim-10-1-0.025-0.3-6-1-0.3-2-10.rsml,160.149,6,144,24.662,0.921,0.355,2,11,6.089,0.379,36.884
69,sim-16-1-0.01-0.3-6-1.2-0.4-4-10.rsml,511.875,7,361,52.175,1.217,0.253,15,139,9.777,0.45,52.263
70,sim-16-2.5-0.04-0.4-6-1.2-0.3-1-20.rsml,35407.074,40,5895,147.853,1.48,0.211,669,29147,44.085,0.705,41.565
71,sim-16-2.5-0.025-0.2-6-1.2-0.3-5-10.rsml,691.525,17,600,35.897,0.889,0.285,12,77,6.774,0.268,59.466
72,sim-10-1-0.025-0.3-6-1-0.2-2-20.rsml,2507.408,16,1039,65.486,1.985,0.219,85,1423,17.172,0.789,41.947
73,sim-16-2.5-0.01-0.3-4-0.8-0.4-3-10.rsml,1499.912,17,849,50.555,1.2,0.333,58,609,11.043,0.447,31.702
74,sim-10-2.5-0.04-0.3-6-1.2-0.4-4-20.rsml,18106.18,40,4783,120.125,2.458,0.197,466,13061,28.543,0.891,42.549
75,sim-16-1-0.025-0.2-4-1.2-0.3-4-10.rsml,307.211,7,251,36.501,0.938,0.461,8,47,6.463,0.281,63.567
76,sim-16-2.5-0.04-0.2-4-1-0.2-3-10.rsml,392.116,15,371,25.254,0.609,0,2,12,6.656,0.219,44.503
77,sim-16-4-0.025-0.4-4-0.8-0.4-2-10.rsml,3136.87,28,1467,53.062,1.258,0.337,115,1589,14.358,0.576,32.205
78,sim-16-2.5-0.025-0.3-6-1-0.3-2-20.rsml,28317.014,40,5837,146.5,2.098,0.223,643,22126,34.925,0.78,37.327
79,sim-10-1-0.04-0.2-6-1.2-0.4-3-20.rsml,6986.971,17,2275,134.422,4.091,0.205,206,4588,22.824,1.041,45.674
80,sim-16-1-0.01-0.4-4-1.2-0.4-4-20.rsml,28277.332,16,2879,180.478,1.891,0.294,534,25113,47.546,0.881,51.925
81,sim-10-4-0.01-0.2-6-1-0.2-1-20.rsml,7188.284,40,3687,92.661,2.132,0.254,297,3326,11.723,0.573,46.905
82,sim-10-2.5-0.025-0.4-6-0.8-0.2-4-10.rsml,216.954,15,208,14.464,0.619,0,0,0,0,0,0
83,sim-10-4-0.025-0.2-4-1-0.3-4-10.rsml,613.363,24,577,24.549,0.931,0,4,22,6.049,0.297,33.109
84,sim-10-4-0.04-0.2-4-1-0.2-3-20.rsml,8997.628,40,3678,92.371,2.114,0.336,417,5095,12.717,0.571,39.958
85,sim-10-2.5-0.01-0.3-4-1.2-0.2-3-20.rsml,7269.483,40,2430,61.281,1.946,0.324,315,4654,15.296,0.776,55.282
86,sim-10-4-0.04-0.2-4-0.8-0.3-2-10.rsml,610.365,24,577,24.539,0.934,0,4,20,5.36,0.29,29.429
87,sim-16-2.5-0.04-0.4-4-1.2-0.4-2-20.rsml,59358.426,40,6152,154.289,1.218,0.287,1157,52582,45.97,0.57,42.101
88,sim-10-1-0.025-0.4-4-1.2-0.3-1-10.rsml,177.12,6,149,25.378,0.921,0.477,5,23,4.97,0.458,52.953
89,sim-16-4-0.04-0.3-4-1-0.3-1-10.rsml,1394.016,28,997,36.247,0.909,0.432,47,357,8.066,0.352,45.136
90,sim-10-2.5-0.01-0.2-6-1.2-0.4-2-10.rsml,542.25,17,511,30.658,1.219,0.342,3,20,7.024,0.369,62.361
91,sim-16-1-0.01-0.3-4-0.8-0.2-4-10.rsml,165.643,6,138,23.457,0.596,0.361,4,23,6.225,0.268,27.394
92,sim-10-2.5-0.04-0.3-4-0.8-0.3-3-10.rsml,397.39,15,342,23.382,0.897,0.415,7,44,6.666,0.375,32.542
93,sim-10-1-0.025-0.2-6-1-0.3-1-10.rsml,144.276,6,141,24.046,0.907,0,0,0,0,0,0
94,sim-10-1-0.01-0.2-4-1-0.4-1-10.rsml,231.018,7,210,30.522,1.213,0.527,3,16,5.789,0.355,71.749
95,sim-10-4-0.025-0.3-6-0.8-0.2-3-10.rsml,357.618,24,348,14.901,0.63,0,0,0,0,0,0
