"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_x.1","ellips_025","ellips_050","ellips_075","ellips_100","rect_020","rect_040","rect_060","rect_080","directionality","tip_count","cross_hori_0_mean","cross_hori_0_max","cross_hori_1_mean","cross_hori_1_max","cross_hori_2_mean","cross_hori_2_max","cross_hori_3_mean","cross_hori_3_max","cross_vert_mean","cross_vert_max","coord_x0","coord_x1","coord_x2","coord_x3","coord_x4","coord_x5","coord_x6","coord_x7","coord_x8","coord_x9"
"11","sim-15-1-0.01-0.2-5-1.3-0.09-4-20",0.95694506,0.27126545,0.086995006,111353.6,5423.1816,64.98527,101.34918,0.64120173,0.386881,0.34611857,0.22772262,0.25804073,0.2676655,0.18014406,0.33810297,0.18304753,0.067469805,0.05787709,16.919823,43,1015.44714,9100,745.2055,2000,306.1644,900,100,100,814.6479,8700,0.31860778,0.12717536,0.026773762,0.33199465,0.29852745,0.32128513,0.35341364,0.8433735,0.6171352,0.40562248
"12","sim-15-1-0.01-0.2-5-1.3-0.09-5-20",0.9801225,0.29723182,0.1089025,69697.6,2780.6074,82.9837,64.25247,1.2915255,0.6240208,0.33677214,0.31664905,0.30928603,0.19171269,0.10269064,0.39486155,0.19288763,0.10468805,0.059609134,26.985353,23,728.3333,1700,558.1081,900,252.7027,500,100,100,291.37466,5300,0.62204725,0.39370078,0.0839895,0.63254595,0.67979,0.6968504,0.65091866,0.97637796,0.84908134,0.6889764
"13","sim-15-1-0.01-0.2-5-1.3-0.11-1-20",0.97906417,0.2907865,0.08900583,113927.46,7191.938,66.66537,110.10021,0.6054972,0.4488751,0.3424107,0.19276512,0.27502692,0.26796034,0.2329864,0.346002,0.14177692,0.115181364,0.061804637,24.104803,75,1217.037,11300,690.9677,2600,276.12903,700,116.77419,200,951.12994,9200,0.4058745,0.14819759,0.037383176,0.5033378,0.58077437,0.6048064,0.8130841,0.7009346,0.77837116,0.48598132
"14","sim-15-1-0.01-0.2-5-1.3-0.11-2-20",1.4393333,0.3274643,0.08466667,142280.64,10398.591,62.992,140.88533,0.4471154,0.58830243,0.34111235,0.2466658,0.33497533,0.24789526,0.10423554,0.35923886,0.22343631,0.14882183,0.10970704,12.237057,44,1423.9131,9800,789.9039,2200,281.25,900,131.73077,200,1426.0504,14100,0.5403226,0.17069893,0.37903225,0.67069894,0.8467742,0.87768817,0.77150536,0.733871,0.8010753,0.6182796
"15","sim-15-1-0.01-0.2-5-1.3-0.11-4-20",1.3919201,0.33311838,0.086995006,111353.6,7979.1816,65.50724,108.395775,0.6043339,0.4796754,0.34992394,0.2043502,0.26462057,0.25526604,0.20776276,0.33323157,0.15331444,0.06523114,0.05432839,36.314484,80,1460.7407,6300,853.8461,2300,316.02563,800,130.1282,200,1101.105,8300,0.43957505,0.19256309,0.124834,0.025232404,0.5989376,0.62682605,0.5325365,0.9667995,0.8565737,0.51128817
"16","sim-15-1-0.01-0.2-5-1.3-0.11-5-20",1.27,0.3466842,0.08466667,123507.836,9181.507,51.308,142.24,0.3607143,0.48626846,0.34760985,0.26235902,0.26250657,0.22284518,0.1901552,0.34566545,0.18390307,0.11481608,0.072157726,9.778361,36,1067.9348,10600,624.2857,3000,300.9524,1500,100,100,1471.378,11700,0.55775577,0.31518152,0.06270627,0.4240924,0.43234324,0.46369636,0.4570957,0.44059405,0.9141914,0.6386139
"17","sim-15-1-0.01-0.2-5-1.3-0.13-1-20",1.457325,0.39115232,0.097155,124358.4,9856.472,74.80935,126.107185,0.59322035,0.585586,0.34910157,0.19478369,0.27823284,0.26484707,0.18237376,0.32157397,0.16528176,0.09089117,0.001971395,33.85144,186,1400.6945,12300,925.30865,2500,304.93826,900,100,100,1158.3107,10400,0.5181818,0.22467533,0.087012984,0.85584414,0.89350647,0.9207792,0.8948052,0.8987013,0.8428571,0.58181816
"18","sim-15-1-0.01-0.2-5-1.3-0.13-2-20",1.9558,0.45912072,0.09779,125171.2,9024.844,74.02703,127.12701,0.5823077,0.6044792,0.34148788,0.28428397,0.35318786,0.20549801,0.10473734,0.3496446,0.23192614,0.15714936,0.10465066,33.15971,188,1388.1945,3100,789.57056,3200,217.17792,1100,115.337425,200,1033.1522,11300,0.5970938,0.21136063,0.5627477,0.5653897,0.5891678,0.61558783,0.7648613,0.71862614,0.95244384,0.661823
"19","sim-15-1-0.01-0.2-5-1.3-0.13-4-20",1.417955,0.43627623,0.128905,164998.4,8785.134,99.901375,165.38512,0.604053,0.4741153,0.34780502,0.21965607,0.25085104,0.24338244,0.23876041,0.322397,0.18313476,0.065559335,0.058751028,25.938385,145,919.58044,3600,643.125,1600,262.5,600,105,200,802.91003,15300,0.5845161,0.32903227,0.076129034,0.51870966,0.43225807,0.45419356,0.53935486,0.5354839,0.8967742,0.64
"20","sim-15-1-0.01-0.2-5-1.3-0.13-5-20",1.782445,0.41993582,0.12731749,162966.39,9696.628,97.01593,166.14934,0.583908,0.4134723,0.33295268,0.25829494,0.30313414,0.20316172,0.19741075,0.36948043,0.16149998,0.1296858,0.0651252,28.827538,140,1327.2109,4200,636.8098,3500,277.30063,800,100,100,956.0109,7000,0.4593176,0.18503937,0.022309711,0.328084,0.26377952,0.28608924,0.3503937,0.48425198,0.8897638,0.5144357
"21","sim-15-1-0.01-0.2-5-1.3-0.15-1-20",1.3839825,0.41570026,0.15377584,98416.54,5795.504,120.09893,101.03072,1.1887367,0.4512868,0.34983456,0.27457017,0.29404584,0.20704202,0.19435894,0.34583953,0.21298556,0.09647633,0.05365103,44.286503,54,1008.3333,2700,662.1951,1600,326.82925,500,123.17073,300,426.1658,2800,0.503201,0.23175415,0.14212549,0.058898848,0.25608194,0.2752881,0.3277849,0.9346991,0.78361076,0.54801536
