image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-13.216-1-1.695-0.01901-0.445-2.257-0-0.436-1.109-27.773-7-r405-7.rsml,690.90015,168.0,234.0,276.25195,4,688.0,172.72504,5.1496058,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-13.258-1-1.639-0.00945-0.131-3.413-0-1.175-1.181-21.22-6-r312-6.rsml,1496.2001,224.0,648.0,258.65213,4,1495.0,374.05002,13.877957,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-13.362-1-1.297-0.02579-0.458-5.132-0-1.129-1.542-11.023-10-r190-10.rsml,9623.531,459.0,1292.0,252.34778,8,5703.0,713.1415,13.334636,0.019453906,32,3902.0,122.44995,5.8431334,61.50644,72,40.0,14.0,0.35
monocot-3D-13.414-1-1.061-0.02367-0.864-2.734-0-0.834-1.284-24.076-5-r20-5.rsml,675.1905,74.0,293.0,287.9114,3,674.0,225.06349,9.850393,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-3D-13.439-1-1.299-0.01436-0.668-3.618-0-1.488-0.901-21.407-9-r420-9.rsml,23644.764,661.0,1520.0,270.62692,7,5874.0,839.73474,17.574821,0.027133506,66,17733.0,269.1912,11.034621,32.48707,139,73.0,25.0,0.34246576
monocot-3D-13.441-1-1-0.02301-0.367-5.002-0-0.887-0.905-13.068-7-r340-7.rsml,1971.2139,238.0,587.0,273.78433,5,1889.0,378.16617,10.476378,0.0,1,80.0,80.382965,3.6409423,8.067382,7,6.0,5.0,0.8333333
monocot-3D-13.466-1-1.145-0.01607-0.64-5.022-0-1.699-1.538-19.904-8-r213-8.rsml,13617.459,580.0,1529.0,289.77545,6,5357.0,893.3801,20.06692,0.020560171,39,8239.0,211.72253,12.112676,58.76213,84,45.0,18.0,0.4
monocot-3D-13.527-1-1.063-0.0219-0.298-4.846-0-0.716-1.642-11.321-9-r126-9.rsml,3095.5403,260.0,700.0,276.58267,6,2718.0,453.57028,8.456695,0.036259077,5,372.0,74.82372,2.483102,75.18318,16,11.0,6.0,0.54545456
monocot-3D-13.543-1-1.093-0.00269-0.605-3.126-0-1.158-1.321-12.878-6-r246-6.rsml,1984.4531,233.0,640.0,259.31638,4,1675.0,419.1593,13.677161,0.027129142,3,306.0,102.60531,7.791981,29.495867,10,7.0,4.0,0.5714286
monocot-3D-13.557-1-1.5-0.02922-0.443-2.379-0-1.139-1.41-15.936-6-r226-6.rsml,2122.2034,377.0,647.0,273.09827,4,1672.0,418.28183,13.452758,0.029687019,5,446.0,89.8152,5.690331,58.70706,14,9.0,6.0,0.6666667
monocot-3D-13.6-1-1.214-0.00105-0.18-4.099-0-0.387-1.493-24.703-5-r453-5.rsml,253.60817,27.0,117.0,280.1177,2,253.0,126.804085,4.570866,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-3D-13.637-1-1.149-0.02789-0.835-4.16-0-1.619-1.556-20.734-9-r493-9.rsml,33399.91,643.0,1705.0,275.2808,7,6878.0,983.23816,19.122065,0.023064101,72,26483.0,368.29507,15.017974,47.66263,151,79.0,26.0,0.32911393
monocot-3D-13.67-1-1.413-0.01582-0.746-4.271-0-1.001-0.845-25.602-7-r459-7.rsml,3377.7249,323.0,702.0,272.0278,5,1982.0,396.74622,11.822839,0.044211894,7,1390.0,199.14198,8.386409,38.301586,19,12.0,6.0,0.5
monocot-3D-13.676-1-1.407-0.0198-0.324-5.766-0-1.128-1.342-5.088-6-r202-6.rsml,1557.6138,85.0,647.0,271.9281,4,1556.0,389.40344,13.322838,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-13.813-1-1.46-0.00356-0.645-3.688-0-1.503-1.494-8.19-8-r324-8.rsml,12412.931,692.0,1345.0,255.49144,6,4551.0,759.02295,17.751955,0.025873583,44,7840.0,178.60898,10.905489,60.97195,94,50.0,19.0,0.38
monocot-3D-13.907-1-1.368-0.02181-0.574-4.469-0-1.561-1.55-18.921-7-r177-7.rsml,6812.008,378.0,1177.0,248.29135,5,3533.0,707.0472,18.43701,0.02458162,25,3265.0,131.07088,9.976883,52.79914,55,30.0,14.0,0.46666667
monocot-3D-13.92-1-1.595-0.00331-0.883-5.772-0-1.096-1.128-18.383-7-r259-7.rsml,4462.3115,454.0,809.0,276.0668,5,2182.0,436.6852,12.944884,0.033916824,14,2273.0,162.7775,10.623067,46.160194,33,19.0,8.0,0.42105263
monocot-3D-13.953-1-1.218-0.00132-0.576-4.705-0-1.258-0.951-21.521-8-r439-8.rsml,7133.855,694.0,1114.0,271.02826,6,3838.0,640.137,14.8582735,0.025009377,17,3284.0,193.7078,8.14559,44.29704,40,23.0,9.0,0.39130434
monocot-3D-14.006-1-1.463-0.00864-0.808-4.421-0-1.279-1.16-14.415-6-r267-6.rsml,3223.557,346.0,763.0,265.58322,4,1871.0,468.32367,15.1062975,0.028500428,9,1344.0,150.02914,11.724674,52.144867,22,13.0,7.0,0.53846157
monocot-3D-14.006-1-1.677-0.01278-0.811-3.536-0-0.824-1.567-26.791-10-r305-10.rsml,12579.274,694.0,998.0,264.07495,8,4044.0,506.10757,9.7322855,0.03665924,41,8508.0,208.05885,7.4839807,62.42945,90,49.0,15.0,0.30612245
monocot-3D-14.027-1-1.546-0.01328-0.86-5.398-0-1.689-0.906-15.217-7-r151-7.rsml,9904.211,365.0,1283.0,272.0282,5,3680.0,736.6358,19.948818,0.023410095,22,6212.0,282.7742,16.191282,24.328407,49,27.0,13.0,0.4814815
monocot-3D-14.028-1-1.527-0.00357-0.868-5.465-0-0.386-1.305-13.364-7-r21-7.rsml,611.91846,112.0,234.0,243.63586,4,609.0,152.97961,4.5590544,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-14.033-1-1.478-0.02458-0.301-4.852-0-1.259-1.221-15.06-6-r39-6.rsml,1785.1058,164.0,706.0,260.1638,4,1711.0,428.041,14.87008,0.0,1,72.0,72.94182,4.490316,15.915461,6,5.0,4.0,0.8
