image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-shov-11.728-1-1.581-0.00746-0.11-5.047-0-0.851-1.567-14.862-7-r437-7.rsml,1317.9419,288.0,468.0,232.84013,4,1316.0,329.48547,10.051179,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-shov-11.771-1-1.111-0.02957-0.644-5.364-0-1.251-0.883-24.806-6-r10-6.rsml,1637.7507,216.0,585.0,274.83862,4,1495.0,374.21695,14.775596,0.0,1,140.0,140.88297,8.855902,10.480406,6,5.0,4.0,0.8
monocot-shov-11.966-1-1.06-0.00808-0.784-5.62-0-1.471-1.098-9.222-9-r402-9.rsml,14599.857,472.0,1338.0,271.01794,7,5252.0,750.8483,17.374022,0.021330655,40,9326.0,233.59795,12.80924,34.341423,87,47.0,16.0,0.34042552
monocot-shov-11.97-1-1.622-0.00325-0.522-4.166-0-0.183-0.932-13.679-8-r109-8.rsml,262.94836,43.0,47.0,271.3853,3,261.0,87.64945,2.161417,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-12.062-1-1.353-0.02201-0.264-3.741-0-0.582-0.846-13.437-5-r148-5.rsml,304.6852,11.0,176.0,274.39322,2,303.0,152.3426,6.874016,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-shov-12.175-1-1.045-0.01321-0.263-3.011-0-1.213-1.187-11.939-7-r365-7.rsml,2419.5352,278.0,761.0,259.30276,5,2254.0,451.244,14.3267765,0.02818098,2,162.0,81.657524,3.6970127,53.383865,9,7.0,5.0,0.71428573
monocot-shov-12.192-1-1.65-0.02643-0.105-3.636-0-1.079-0.971-22.081-8-r289-8.rsml,2677.0547,247.0,821.0,249.20726,6,2674.0,446.17578,12.744085,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
monocot-shov-12.241-1-1.107-0.00299-0.372-3.17-0-0.74-1.171-24.236-8-r447-8.rsml,2086.2085,268.0,524.0,276.29315,5,1791.0,358.49628,8.740161,0.040199857,4,292.0,73.43176,3.2004042,35.390495,13,9.0,5.0,0.5555556
monocot-shov-12.301-1-1.624-0.02219-0.569-5.494-0-0.154-1.017-13.28-9-r182-9.rsml,244.95007,58.0,40.0,270.21973,3,244.0,81.650024,1.8188981,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-12.316-1-1.408-0.03009-0.394-3.581-0-0.892-1.032-29.132-8-r229-8.rsml,2986.2832,232.0,645.0,261.11795,6,2281.0,380.64047,10.535432,0.052511334,7,699.0,100.34863,3.9717932,43.714405,20,13.0,6.0,0.46153846
monocot-shov-12.405-1-1.566-0.02973-0.334-5.211-0-1.461-1.522-14.755-7-r290-7.rsml,3664.1543,286.0,940.0,262.29724,5,2879.0,576.1019,17.255917,0.030437006,8,779.0,97.95555,5.536368,64.2728,21,13.0,7.0,0.53846157
monocot-shov-12.407-1-1.068-0.02047-0.689-2.858-0-0.921-1.046-10.345-9-r44-9.rsml,7704.4785,377.0,824.0,271.4022,7,3414.0,488.19708,10.87795,0.03893778,26,4274.0,164.88841,7.1195383,34.00801,59,33.0,11.0,0.33333334
monocot-shov-12.416-1-1.057-0.00755-0.9-3.162-0-1.253-0.936-21.957-8-r467-8.rsml,14155.717,424.0,981.0,259.27808,6,3540.0,590.62463,14.799206,0.032878123,44,10592.0,241.18114,12.502115,29.754675,94,50.0,19.0,0.38
monocot-shov-12.419-1-1.219-0.01172-0.643-3.875-0-1.076-1.001-28.688-9-r315-9.rsml,9265.533,536.0,989.0,280.45782,7,3861.0,552.1129,12.708668,0.030522216,28,5384.0,192.88362,7.739498,34.80041,63,35.0,12.0,0.34285715
monocot-shov-12.461-1-1.202-0.01498-0.113-2.639-0-1.525-1.221-5.103-7-r220-7.rsml,3123.7485,257.0,1000.0,259.6937,5,3121.0,624.7497,18.011826,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-shov-12.474-1-1.03-0.02982-0.69-2.286-0-1.135-0.878-24.034-6-r334-6.rsml,1977.1151,209.0,588.0,266.6192,4,1500.0,375.58292,13.405516,0.027809845,3,474.0,158.26111,8.69923,14.009602,10,7.0,4.0,0.5714286
monocot-shov-12.604-1-1.055-0.01923-0.11-4.128-0-1.609-0.957-14.202-10-r16-10.rsml,9024.063,398.0,1820.0,278.42426,8,8337.0,1042.694,19.003912,0.016106723,10,676.0,68.251144,2.100907,39.14278,28,18.0,8.0,0.44444445
