image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1-35-r3-12.rsml,15599.51,710.0,923.0,259.50876,9,4332.0,481.88504,4.379586,0.0440288,55,11235.0,204.77356,3.7244384,52.74891,119,64.0,15.0,0.234375
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1-5-r3-12.rsml,9491.599,859.0,938.0,263.73822,9,4530.0,503.67886,4.307221,0.026494531,32,4944.0,154.95274,3.6812582,55.881912,73,41.0,10.0,0.24390244
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1.5-15-r3-12.rsml,15161.954,1035.0,979.0,240.3984,9,5112.0,568.7502,4.6296086,0.023066204,50,10018.0,200.86407,3.9410806,57.05385,109,59.0,16.0,0.27118644
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1.5-25-r3-12.rsml,15311.673,934.0,974.0,251.09262,9,4543.0,505.43686,4.4364533,0.04770736,51,10737.0,211.03412,3.7941625,76.90752,111,60.0,15.0,0.25
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1.5-35-r3-12.rsml,16695.877,834.0,989.0,248.96565,9,4680.0,520.5236,4.469482,0.039738547,53,11987.0,226.62576,3.8039165,53.124016,115,62.0,15.0,0.24193548
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1.5-5-r3-12.rsml,9468.117,790.0,938.0,252.53304,9,4517.0,502.3386,4.307716,0.028355354,37,4927.0,133.70459,3.6771927,61.34679,83,46.0,12.0,0.26086956
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.9-0.5-15-r3-12.rsml,108377.94,1416.0,2458.0,275.1026,10,12481.0,1248.6296,10.531737,0.03172089,183,95801.0,523.9979,8.954964,20.188406,376,193.0,44.0,0.22797927
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.9-0.5-25-r3-12.rsml,101714.04,1133.0,2273.0,259.98593,10,11696.0,1170.1964,9.7485285,0.03054726,175,89926.0,514.3547,8.2501955,18.55181,360,185.0,41.0,0.22162162
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.9-0.5-35-r3-12.rsml,110397.52,1116.0,2344.0,258.77975,10,11874.0,1187.9094,9.975856,0.03083809,179,98428.0,550.3824,8.463558,19.17826,368,189.0,42.0,0.22222222
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.9-0.5-5-r3-12.rsml,68512.68,1791.0,2345.0,273.4748,10,12166.0,1217.0017,9.904052,0.027921699,163,56269.0,345.6604,8.385547,18.531836,336,173.0,36.0,0.20809248
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.9-1-15-r3-12.rsml,100557.92,1456.0,2508.0,273.61975,10,12889.0,1289.4294,10.591066,0.024916852,177,87574.0,495.2748,8.991855,36.084064,364,187.0,43.0,0.22994652
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.9-1-25-r3-12.rsml,103892.1,1462.0,2399.0,267.90488,10,12267.0,1227.0446,10.102512,0.026615903,180,91535.0,509.00912,8.576149,40.49911,370,190.0,42.0,0.22105263
