image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
dicot-shov-13.079-1-1.693-0.00625-0.606-3.546-0.964-0.92-1.277-17.736-5-r355-5.rsml,411.42407,16.0,351.0,267.57498,1,411.0,411.42407,13.079589,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-13.089-1-1.66-0.00779-0.104-4.678-0.238-0.802-0.991-7.266-5-r244-5.rsml,353.6976,60.0,287.0,257.5444,1,353.0,353.6976,9.482373,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-13.107-1-1.097-0.0268-0.295-4.212-0.537-1.65-1.364-19.304-9-r167-9.rsml,4605.9785,311.0,1693.0,271.6476,1,1760.0,1760.7416,23.723444,0.021213463,20,2835.0,142.26187,5.634609,42.647163,41,21.0,21.0,1.0
dicot-shov-13.123-1-1.604-0.02175-0.527-2.98-0.313-1.634-1.102-24.264-9-r449-9.rsml,11534.695,440.0,1648.0,260.642,1,1710.0,1710.4612,32.481846,0.028454678,34,9807.0,288.94806,10.714389,32.398922,69,35.0,35.0,1.0
dicot-shov-13.136-1-1.099-0.0077-0.44-5.287-0.887-0.96-1.571-27.224-8-r364-8.rsml,1422.792,121.0,760.0,228.48543,1,820.0,820.94183,14.761537,0.019443484,6,599.0,100.30837,4.8822646,60.1062,13,7.0,7.0,1.0
dicot-shov-13.144-1-1.025-0.02954-0.705-2.485-0.214-0.235-1.334-18.717-6-r93-6.rsml,118.030106,6.0,58.0,277.97095,1,118.0,118.030106,2.8623934,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-13.15-1-1.069-0.01136-0.694-3.103-0.848-1.083-1.079-7.026-7-r133-7.rsml,1705.9591,228.0,765.0,255.4012,1,826.0,826.17896,20.192327,0.022750407,5,878.0,175.95605,9.428035,37.374123,11,6.0,6.0,1.0
dicot-shov-13.19-1-1.357-0.00487-0.724-4.969-0.298-1.697-0.941-18.876-9-r335-9.rsml,9331.166,655.0,1760.0,270.72726,1,1824.0,1824.1266,34.531174,0.016305508,20,7495.0,375.352,15.934203,27.951385,41,21.0,21.0,1.0
dicot-shov-13.316-1-1.042-0.01795-0.685-2.169-0.151-1-1.401-7.451-7-r281-7.rsml,2167.9443,256.0,469.0,287.10208,1,530.0,530.1356,15.986361,0.03562617,10,1634.0,163.78087,7.9893227,41.494102,21,11.0,11.0,1.0
dicot-shov-13.32-1-1.624-0.01225-0.869-2.461-0.57-0.656-1.588-24.227-8-r383-8.rsml,1805.6443,306.0,527.0,279.11624,1,587.0,587.9852,16.288399,0.03458883,10,1213.0,121.76589,7.902997,63.200756,21,11.0,11.0,1.0
