 ;image;tot_root_length;n_primary;tot_prim_length;mean_prim_length;mean_prim_diameter;mean_lat_density;n_laterals;tot_lat_length;mean_lat_length;mean_lat_diameter;mean_lat_angle
1094;sim-0.15-0.2-10-0.3-2-0.5-1-20-4.rsml;1175.659;5;368;74.264;0.931;0.529;78;768;10.312;0.199;15.533
1095;sim-0.15-0.2-10-0.3-2-0.5-1-20-5.rsml;1111.825;5;368;74.297;0.931;0.502;72;704;10.283;0.196;14.821
1096;sim-0.15-0.2-10-0.3-2-1-0.6-20-1.rsml;394.957;5;210;42.523;0.559;0.524;33;165;5.526;0.13;33.512
1097;sim-0.15-0.2-10-0.3-2-1-0.6-20-2.rsml;384.24;5;212;42.701;0.559;0.499;30;153;5.691;0.13;31.116
1098;sim-0.15-0.2-10-0.3-2-1-0.6-20-3.rsml;389.666;5;211;42.516;0.559;0.531;31;162;5.712;0.128;38.914
1099;sim-0.15-0.2-10-0.3-2-1-0.6-20-4.rsml;384.453;5;210;42.415;0.559;0.493;31;159;5.561;0.131;33.45
1100;sim-0.15-0.2-10-0.3-2-1-0.6-20-5.rsml;384.559;5;210;42.56;0.559;0.542;31;156;5.541;0.128;34
1101;sim-0.15-0.2-10-0.3-2-1-0.8-20-1.rsml;674.013;5;290;58.39;0.745;0.54;53;355;7.209;0.163;32.651
1102;sim-0.15-0.2-10-0.3-2-1-0.8-20-2.rsml;679.114;5;290;58.339;0.745;0.542;53;359;7.31;0.163;35.135
1103;sim-0.15-0.2-10-0.3-2-1-0.8-20-3.rsml;667.378;5;290;58.456;0.745;0.54;53;345;7.077;0.162;36.242
1104;sim-0.15-0.2-10-0.3-2-1-0.8-20-4.rsml;683.046;5;290;58.354;0.745;0.542;53;366;7.383;0.163;38.182
1105;sim-0.15-0.2-10-0.3-2-1-0.8-20-5.rsml;670.336;5;289;58.287;0.745;0.545;53;353;7.149;0.163;34.736
1106;sim-0.15-0.2-10-0.3-2-1-1-20-1.rsml;1062.75;5;369;74.193;0.931;0.519;78;654;8.869;0.197;32.044
1107;sim-0.15-0.2-10-0.3-2-1-1-20-2.rsml;1053.908;5;369;74.412;0.931;0.49;76;644;8.972;0.198;30.689
1108;sim-0.15-0.2-10-0.3-2-1-1-20-3.rsml;1063.547;5;368;74.192;0.931;0.508;77;653;8.995;0.197;34.123
1109;sim-0.15-0.2-10-0.3-2-1-1-20-4.rsml;1024.349;5;368;74.16;0.931;0.503;74;613;8.832;0.198;30.467
1110;sim-0.15-0.2-10-0.3-2-1-1-20-5.rsml;1089.372;5;369;74.33;0.931;0.533;78;675;9.202;0.198;34.146
1111;sim-0.15-0.2-10-0.3-4-0.5-0.6-20-1.rsml;312.486;5;210;42.437;0.559;0.322;15;93;6.687;0.128;15.32
1112;sim-0.15-0.2-10-0.3-4-0.5-0.6-20-2.rsml;311.216;5;210;42.511;0.559;0.322;14;92;7.047;0.13;18.83
1113;sim-0.15-0.2-10-0.3-4-0.5-0.6-20-3.rsml;311.441;5;211;42.55;0.559;0.402;15;92;6.579;0.129;15.758
1114;sim-0.15-0.2-10-0.3-4-0.5-0.6-20-4.rsml;308.364;5;212;42.723;0.559;0.372;15;86;6.317;0.126;13.976
1115;sim-0.15-0.2-10-0.3-4-0.5-0.6-20-5.rsml;302.091;5;210;42.402;0.559;0.322;14;82;6.434;0.13;17.015
1116;sim-0.15-0.2-10-0.3-4-0.5-0.8-20-1.rsml;498.077;5;289;58.376;0.745;0.337;25;195;8.248;0.163;15.041
1117;sim-0.15-0.2-10-0.3-4-0.5-0.8-20-2.rsml;499.063;5;288;58.247;0.745;0.34;25;193;8.313;0.164;13.943
1118;sim-0.15-0.2-10-0.3-4-0.5-0.8-20-3.rsml;499.843;5;289;58.294;0.745;0.337;25;192;8.335;0.162;17.495
1119;sim-0.15-0.2-10-0.3-4-0.5-0.8-20-4.rsml;499.941;5;290;58.43;0.745;0.333;25;195;8.312;0.162;15.43
1120;sim-0.15-0.2-10-0.3-4-0.5-0.8-20-5.rsml;502.453;5;290;58.333;0.745;0.336;25;198;8.432;0.164;15.348
1121;sim-0.15-0.2-10-0.3-4-0.5-1-20-1.rsml;760.794;5;369;74.265;0.931;0.294;39;370;9.986;0.196;14.376
1122;sim-0.15-0.2-10-0.3-4-0.5-1-20-2.rsml;747.845;5;369;74.382;0.931;0.256;37;354;10.16;0.197;14.049
1123;sim-0.15-0.2-10-0.3-4-0.5-1-20-3.rsml;743.23;5;369;74.312;0.931;0.294;37;353;10.045;0.198;13.692
1124;sim-0.15-0.2-10-0.3-4-0.5-1-20-4.rsml;775.135;5;368;74.206;0.931;0.305;38;388;10.634;0.197;16.776
1125;sim-0.15-0.2-10-0.3-4-0.5-1-20-5.rsml;732.015;5;368;74.152;0.931;0.275;36;345;10.035;0.197;12.062
1126;sim-0.15-0.2-10-0.3-4-1-0.6-20-1.rsml;298.491;5;210;42.515;0.559;0.4;15;79;5.728;0.129;36.32
1127;sim-0.15-0.2-10-0.3-4-1-0.6-20-2.rsml;290.348;5;210;42.476;0.559;0.406;14;71;5.569;0.131;38.724
